證券代碼,簡稱,TSE新產業_名稱,年月日,報酬率％,成交量(千股),本益比-TEJ,本益比-TSE
2305   ,全友         ,電腦及週邊,20230510,     1.4151,      198,    72.9065,   358.3300
2809   ,京城銀       ,金融業    ,20230510,    -0.4213,      470,    48.4463,    13.0800
Y9999  ,加權指數     ,-         ,20230510,    -0.5464,  4625505,    11.7842,          -
2305   ,全友         ,電腦及週邊,20230511,    -2.5581,      318,    71.0415,          -
2809   ,京城銀       ,金融業    ,20230511,    -0.2821,      323,    48.3096,    13.0400
Y9999  ,加權指數     ,-         ,20230511,    -0.8127,  4873012,    11.6902,          -
2305   ,全友         ,電腦及週邊,20230512,     0.7160,      178,    71.5501,          -
2809   ,京城銀       ,金融業    ,20230512,    -0.7072,      828,    47.9679,    12.9500
Y9999  ,加權指數     ,-         ,20230512,    -0.0792,  5132689,    11.6807,          -
2305   ,全友         ,電腦及週邊,20230515,     0.7109,      217,    72.0588,          -
2809   ,京城銀       ,金融業    ,20230515,     0.0000,      433,    47.9679,    12.9500
Y9999  ,加權指數     ,-         ,20230515,    -0.1762,  4742994,    11.6618,          -
2305   ,全友         ,電腦及週邊,20230516,     1.1765,      119,    72.9065,          -
2809   ,京城銀       ,金融業    ,20230516,     0.8547,      942,    48.3779,    13.0600
Y9999  ,加權指數     ,-         ,20230516,     1.2850,  5084407,    11.8117,          -
2305   ,全友         ,電腦及週邊,20230517,     1.1628,      186,    73.7543,          -
2809   ,京城銀       ,金融業    ,20230517,     1.9774,     2025,    49.3346,    13.3200
Y9999  ,加權指數     ,-         ,20230517,     1.6039,  6161177,    12.0014,          -
2305   ,全友         ,電腦及週邊,20230518,     2.5287,      674,    75.6193,          -
2809   ,京城銀       ,金融業    ,20230518,    -0.4155,      931,    49.1296,    13.2700
Y9999  ,加權指數     ,-         ,20230518,     1.1089,  6611031,    12.1345,          -
