證券代碼,簡稱,年月日,成交量(千股),報酬率％,本益比-TEJ
2305   ,全友         ,20230512,      178,     0.7160,    71.5501
2809   ,京城銀       ,20230515,      433,     0.0000,    47.9679
2305   ,全友         ,20230515,      217,     0.7109,    72.0588
2809   ,京城銀       ,20230516,      942,     0.8547,    48.3779
2305   ,全友         ,20230516,      119,     1.1765,    72.9065
2809   ,京城銀       ,20230517,     2025,     1.9774,    49.3346
2305   ,全友         ,20230517,      186,     1.1628,    73.7543
2809   ,京城銀       ,20230518,      931,    -0.4155,    49.1296
2305   ,全友         ,20230518,      674,     2.5287,    75.6193
2809   ,京城銀       ,20230519,      914,     0.5563,    49.4029
2305   ,全友         ,20230519,      256,    -2.2422,    73.9238
2809   ,京城銀       ,20230522,     1392,     0.4149,    49.6079
2305   ,全友         ,20230522,      340,     1.8349,    75.2802
2809   ,京城銀       ,20230523,     1862,    -1.1019,    49.0612
2305   ,全友         ,20230523,     3171,     9.9099,    82.7404
2809   ,京城銀       ,20230524,     1825,     0.5571,    49.3346
2305   ,全友         ,20230524,     3379,    -2.0492,    81.0449
2809   ,京城銀       ,20230525,     1919,    -1.9391,    48.3779
2305   ,全友         ,20230525,      496,    -0.6276,    80.5363
2809   ,京城銀       ,20230526,     1959,    -0.2825,    48.2413
2305   ,全友         ,20230526,     5776,    -2.5263,    78.5017
2809   ,京城銀       ,20230529,      956,     0.1416,    48.3096
2305   ,全友         ,20230529,      284,    -0.2160,    78.3321
2809   ,京城銀       ,20230530,     1157,     0.1414,    48.3779
2305   ,全友         ,20230530,      186,    -1.0823,    77.4844
2809   ,京城銀       ,20230531,     2120,     1.5537,    49.1296
2305   ,全友         ,20230531,      396,     2.1882,    79.1799
2809   ,京城銀       ,20230601,     1449,    -0.5563,    13.1934
2305   ,全友         ,20230601,      178,    -0.6424,   729.4498
2809   ,京城銀       ,20230602,      974,     0.2797,    13.2303
2305   ,全友         ,20230602,      318,     0.2155,   731.0219
2809   ,京城銀       ,20230605,     2969,     0.6974,    13.3226
2305   ,全友         ,20230605,      255,     1.2903,   740.4544
2809   ,京城銀       ,20230606,     3850,     0.4155,    13.3779
2305   ,全友         ,20230606,      287,    -2.3355,   723.1614
2809   ,京城銀       ,20230607,     3591,     0.5517,    13.0458
2305   ,全友         ,20230607,      126,     0.0000,   723.1614
2809   ,京城銀       ,20230608,     1367,    -0.4243,    12.9904
2305   ,全友         ,20230608,      287,    -2.1739,   707.4406
2809   ,京城銀       ,20230609,     1482,     0.7102,    13.0827
2305   ,全友         ,20230609,      208,     0.0000,   707.4406
2809   ,京城銀       ,20230612,     1389,    -0.2821,    13.0458
2305   ,全友         ,20230612,     3122,    10.0000,   778.1845
2809   ,京城銀       ,20230613,     2569,     1.1315,    13.1934
2305   ,全友         ,20230613,     5069,    -0.8081,   771.8962
2809   ,京城銀       ,20230614,     2185,     0.4196,    13.2487
2305   ,全友         ,20230614,      818,    -1.6293,   759.3195
2809   ,京城銀       ,20230615,     1887,     0.4178,    13.3041
2305   ,全友         ,20230615,      530,    -1.0352,   751.4591
2809   ,京城銀       ,20230616,     4659,    -2.0804,    13.0273
2305   ,全友         ,20230616,      402,    -1.0460,   743.5987
2809   ,京城銀       ,20230619,     4981,     1.5581,    13.2303
2305   ,全友         ,20230619,     2118,     3.5941,   770.3241
2809   ,京城銀       ,20230620,     4153,     0.2789,    13.2672
2305   ,全友         ,20230620,      508,    -1.6327,   757.7474
2809   ,京城銀       ,20230621,     2215,    -0.8345,    13.1565
2305   ,全友         ,20230621,     1264,     2.4896,   776.6124
2809   ,京城銀       ,20230626,     1788,    -0.2805,    13.1196
2305   ,全友         ,20230626,      501,    -2.6316,   756.1754
2809   ,京城銀       ,20230627,     1317,    -0.5626,    13.0458
2305   ,全友         ,20230627,      437,    -1.0395,   748.3149
2809   ,京城銀       ,20230628,     1234,     0.1414,    13.0642
2305   ,全友         ,20230628,      315,    -0.4202,   745.1708
2809   ,京城銀       ,20230629,      519,     0.4237,    13.1196
2305   ,全友         ,20230629,      254,    -0.2110,   743.5987
